Id,Neighbourhood,Neighbourhood  Group,Latitude,Longitude,Property Type,Room Type,Accommodates,Bathrooms,Bedrooms,Beds,Price,Minimum Nights,Number of Reviews,Review Scores Rating,Review Scores Accuracy,Review Scores Cleanliness,Review Scores Location
7086,Penha de Frana,Lisboa,38.731930,-9.131230,Private room in guesthouse,Private room,2,2,1,1,51,3,13,4.23,4.54,4.62,4.69
7087,Penha de Frana,Lisboa,38.732400,-9.131710,Private room in guesthouse,Private room,2,2,1,2,43,3,7,4.86,5,5,4.86
7088,Ericeira,Mafra,38.957450,-9.412030,Entire residential home,Entire home/apt,8,3,3,6,400,4,10,4.9,5,4.9,4.8
7089,A dos Cunhados e Maceira,Torres Vedras,39.131370,-9.317670,Entire residential home,Entire home/apt,4,1,2,4,180,7,3,5,5,5,4.67
7090,Santo Isidoro,Mafra,39.007660,-9.417660,Entire rental unit,Entire home/apt,4,1,2,3,45,3,13,4.62,4.85,4.31,4.85
7091,Arroios,Lisboa,38.728410,-9.140910,Entire rental unit,Entire home/apt,4,1,1,1,88,2,16,4.94,4.94,4.94,4.81
7092,Santa Maria Maior,Lisboa,38.710440,-9.128810,Entire rental unit,Entire home/apt,2,1,1,1,89,2,51,4.41,4.67,4.67,4.88
7093,Arroios,Lisboa,38.721180,-9.133340,Entire rental unit,Entire home/apt,4,1,2,2,45,30,9,4.63,4.75,4.63,4.75
7094,Arroios,Lisboa,38.735210,-9.133490,Entire rental unit,Entire home/apt,4,2,2,3,100,2,53,4.94,4.97,4.91,4.88
7095,Alcntara,Lisboa,38.706450,-9.174840,Entire rental unit,Entire home/apt,4,1,1,1,60,15,8,5,5,5,4.75
7096,Arroios,Lisboa,38.719280,-9.133630,Entire rental unit,Entire home/apt,2,1,0,1,30,30,12,4.17,4.75,4.33,4.25
7097,Santa Maria Maior,Lisboa,38.711380,-9.125080,Entire rental unit,Entire home/apt,2,1,1,1,65,1,26,4,4.35,4.19,4.69
7098,So Vicente,Lisboa,38.721060,-9.122610,Entire rental unit,Entire home/apt,6,1,2,3,61,3,97,4.75,4.9,4.81,4.64
7099,Santa Maria Maior,Lisboa,38.710430,-9.136840,Entire rental unit,Entire home/apt,4,1,1,1,80,4,46,4.84,4.91,4.98,5
7100,Santo Antnio,Lisboa,38.715660,-9.150640,Entire rental unit,Entire home/apt,4,1,1,2,69,4,152,4.69,4.8,4.69,4.91
7101,Benfica,Lisboa,38.745980,-9.204220,Entire rental unit,Entire home/apt,4,1,1,1,51,17,94,4.86,4.96,4.94,4.77
7102,Santa Maria Maior,Lisboa,38.713650,-9.141640,Entire rental unit,Entire home/apt,6,2,3,4,119,3,64,4.91,4.89,4.95,4.98
7103,Estrela,Lisboa,38.710030,-9.161210,Private room in rental unit,Private room,2,1,1,1,21,2,77,4.96,4.96,5,4.88
7104,Moscavide e Portela,Loures,38.778210,-9.102650,Entire rental unit,Entire home/apt,3,1,1,2,40,2,92,4.89,4.93,4.95,4.73
7105,Alvalade,Lisboa,38.750750,-9.145330,Entire rental unit,Entire home/apt,4,1,2,3,63,2,112,4.69,4.74,4.82,4.71
7106,Misericrdia,Lisboa,38.708190,-9.148950,Entire rental unit,Entire home/apt,4,2,2,2,99,2,49,4.88,4.96,4.92,5
7107,Santo Antnio,Lisboa,38.727850,-9.147210,Entire rental unit,Entire home/apt,4,1,1,1,94,2,82,4.96,4.94,4.99,4.86
7108,So Vicente,Lisboa,38.718740,-9.127990,Entire rental unit,Entire home/apt,6,3,3,3,121,2,99,4.77,4.91,4.91,4.8
7109,Misericrdia,Lisboa,38.708070,-9.149030,Entire rental unit,Entire home/apt,5,2,2,2,150,2,41,4.95,4.94,4.82,5
7110,Misericrdia,Lisboa,38.714160,-9.145680,Entire rental unit,Entire home/apt,6,2,3,4,119,3,106,4.81,4.86,4.86,4.92
7111,Arroios,Lisboa,38.725850,-9.136080,Entire rental unit,Entire home/apt,2,1,1,1,65,2,33,4.82,4.85,4.67,4.7
7112,Santa Maria Maior,Lisboa,38.708160,-9.134210,Entire rental unit,Entire home/apt,6,2,2,3,152,3,92,4.97,4.98,4.97,4.97
7113,Falagueira-Venda Nova,Amadora,38.758690,-9.227040,Entire rental unit,Entire home/apt,4,1,1,2,69,2,12,4.92,5,4.92,4.67
7114,Santa Maria Maior,Lisboa,38.712030,-9.126910,Entire rental unit,Entire home/apt,4,1,1,2,65,2,45,4.25,4.52,4.55,4.86
7115,Estrela,Lisboa,38.711220,-9.167780,Entire rental unit,Entire home/apt,4,1,1,1,69,4,45,4.78,4.91,4.84,4.64
7116,Santa Maria Maior,Lisboa,38.712030,-9.126910,Entire rental unit,Entire home/apt,4,1,1,2,70,2,36,4.39,4.61,4.64,4.92
7117,So Vicente,Lisboa,38.719530,-9.126740,Entire rental unit,Entire home/apt,2,0,0,1,63,2,115,4.86,4.9,4.81,4.7
7118,Santa Maria Maior,Lisboa,38.712030,-9.126910,Entire rental unit,Entire home/apt,2,1,0,1,60,2,47,4.3,4.51,4.55,4.94
7119,Santo Antnio,Lisboa,38.722640,-9.154590,Entire rental unit,Entire home/apt,4,2,2,2,75,2,50,4.94,4.96,4.92,4.88
7120,Arroios,Lisboa,38.729150,-9.133980,Private room in rental unit,Private room,2,1,1,1,30,2,89,4.59,4.81,4.89,4.76
7121,Cascais e Estoril,Cascais,38.697950,-9.445190,Entire condominium (condo),Entire home/apt,6,2,2,5,181,2,22,5,5,5,4.82
7122,Cascais e Estoril,Cascais,38.713050,-9.396740,Entire serviced apartment,Entire home/apt,4,1,1,1,195,2,1,5,5,5,5
7123,Parque das Naes,Lisboa,38.779490,-9.096130,Entire rental unit,Entire home/apt,4,2,2,3,70,1,35,4.91,4.97,4.86,4.89
7124,Santo Antnio,Lisboa,38.720130,-9.143600,Entire rental unit,Entire home/apt,2,1,0,1,60,3,20,4.65,4.8,4.75,4.8
7125,Ericeira,Mafra,38.969010,-9.418050,Entire rental unit,Entire home/apt,6,1,2,2,64,4,13,4.69,4.69,4.77,4.77
7126,Cascais e Estoril,Cascais,38.703360,-9.427290,Entire rental unit,Entire home/apt,4,1,2,3,83,3,20,4.35,4.35,4.45,4.4
7127,So Vicente,Lisboa,38.719480,-9.124170,Entire rental unit,Entire home/apt,6,2,3,3,99,3,35,4.89,4.86,5,4.34
7128,Penha de Frana,Lisboa,38.732880,-9.128870,Private room in rental unit,Private room,2,1,2,3,47,2,43,4.93,4.98,4.98,4.71
7129,Cascais e Estoril,Cascais,38.695700,-9.421850,Entire rental unit,Entire home/apt,4,1,1,1,79,1,80,4.79,4.86,4.79,4.99
7130,Santa Maria Maior,Lisboa,38.715140,-9.139960,Entire rental unit,Entire home/apt,4,1,1,2,71,2,39,4.41,4.54,4.56,4.9
7131,Avenidas Novas,Lisboa,38.729730,-9.148990,Entire rental unit,Entire home/apt,2,1,1,1,58,4,98,4.84,4.91,4.69,4.76
7132,So Vicente,Lisboa,38.717600,-9.131930,Entire rental unit,Entire home/apt,5,1,2,2,123,2,2,5,5,5,5
7133,Santa Maria Maior,Lisboa,38.711290,-9.140730,Entire rental unit,Entire home/apt,4,1,1,2,101,4,70,5,5,4.97,5
7134,Ericeira,Mafra,38.954850,-9.408840,Entire rental unit,Entire home/apt,4,1,1,2,37,2,126,4.57,4.74,4.62,4.46
7135,Santa Maria Maior,Lisboa,38.714170,-9.137250,Entire rental unit,Entire home/apt,2,1,1,1,73,3,81,4.79,4.91,4.94,4.93
7136,Benfica,Lisboa,38.741680,-9.202550,Private room in residential home,Private room,2,1,1,1,39,1,9,4.78,5,4.67,4.67
7137,Misericrdia,Lisboa,38.710000,-9.150140,Entire rental unit,Entire home/apt,6,1,2,3,96,3,63,4.87,4.9,4.84,4.9
7138,Cascais e Estoril,Cascais,38.700670,-9.424240,Entire rental unit,Entire home/apt,6,2,3,3,90,5,63,4.84,4.89,4.81,4.9
7139,Arroios,Lisboa,38.722370,-9.134910,Entire rental unit,Entire home/apt,3,1,1,1,55,3,114,4.83,4.9,4.95,4.82
7140,Colares,Sintra,38.812320,-9.476820,Entire residential home,Entire home/apt,6,2,3,6,160,4,30,4.9,4.86,4.83,4.97
7141,Santa Maria Maior,Lisboa,38.711980,-9.128480,Entire rental unit,Entire home/apt,3,1,1,1,60,3,68,4.79,4.91,4.87,4.94
7142,Misericrdia,Lisboa,38.710880,-9.149600,Entire rental unit,Entire home/apt,4,1,1,1,70,2,65,4.82,4.86,4.77,5
7143,Ericeira,Mafra,38.972810,-9.415110,Entire rental unit,Entire home/apt,8,3,3,7,105,3,42,4.95,4.93,4.88,4.88
7144,Ericeira,Mafra,38.980130,-9.411530,Private room in rental unit,Private room,1,1,1,1,20,2,2,4,3.5,4.5,4
7145,Carvoeira,Mafra,38.951480,-9.411690,Entire rental unit,Entire home/apt,7,2,2,3,95,3,13,4.62,4.54,4.15,4.85
7146,So Vicente,Lisboa,38.717980,-9.129740,Entire rental unit,Entire home/apt,4,1,2,2,82,2,76,4.92,4.94,4.96,4.9
7147,Arroios,Lisboa,38.715530,-9.138670,Entire rental unit,Entire home/apt,4,1,1,2,75,2,29,4.72,4.72,4.83,4.79
7148,So Vicente,Lisboa,38.719310,-9.129120,Entire townhouse,Entire home/apt,4,1,2,3,50,3,44,4.68,4.86,4.7,4.7
7149,Misericrdia,Lisboa,38.709160,-9.150170,Entire rental unit,Entire home/apt,8,2,3,5,175,2,140,4.91,4.97,4.93,4.88
7150,Santa Maria Maior,Lisboa,38.714000,-9.134720,Entire rental unit,Entire home/apt,5,2,4,5,140,2,19,4.89,4.89,4.63,4.95
7151,Estrela,Lisboa,38.707470,-9.158490,Private room in rental unit,Private room,2,1,1,2,73,2,33,5,4.94,5,5
7152,Santa Maria Maior,Lisboa,38.711710,-9.129890,Entire loft,Entire home/apt,4,1,2,2,80,2,89,4.08,4.34,4.26,4.78
7153,So Joo das Lampas e Terrugem,Sintra,38.878460,-9.402800,Entire residential home,Entire home/apt,5,1,2,3,65,3,1,4,4,5,5
7154,Santa Maria Maior,Lisboa,38.709400,-9.136620,Entire rental unit,Entire home/apt,4,1,1,1,100,3,85,4.94,4.98,4.96,4.99
7155,Santa Maria Maior,Lisboa,38.716890,-9.135200,Entire rental unit,Entire home/apt,3,1,2,2,68,3,83,4.39,4.57,4.54,4.71
7156,So Domingos de Benfica,Lisboa,38.751720,-9.173720,Private room in rental unit,Private room,2,2,1,2,39,5,11,4.91,4.91,4.82,4.82
7157,Penha de Frana,Lisboa,38.733300,-9.128010,Private room in rental unit,Private room,1,1,0,1,30,1,2,4.5,5,3.5,4
7158,Cascais e Estoril,Cascais,38.706620,-9.443440,Private room in bed and breakfast,Private room,2,1,1,1,55,1,1,5,5,5,5
7159,Santo Antnio,Lisboa,38.718620,-9.153330,Entire rental unit,Entire home/apt,4,1,1,3,62,3,45,4.78,4.89,4.8,4.89
7160,Lumiar,Lisboa,38.773330,-9.154710,Entire rental unit,Entire home/apt,4,1,1,2,90,2,40,4.78,4.8,4.65,4.73
7161,Santa Maria Maior,Lisboa,38.712360,-9.128780,Entire rental unit,Entire home/apt,2,1,0,1,80,3,18,4.94,4.89,5,4.89
7162,Venteira,Amadora,38.756430,-9.234050,Entire rental unit,Entire home/apt,6,1,2,3,35,4,30,4.57,4.67,4.63,4.53
7163,Santa Maria Maior,Lisboa,38.712310,-9.126320,Entire rental unit,Entire home/apt,4,1,2,2,44,2,93,4.75,4.88,4.73,4.89
7164,Santa Maria Maior,Lisboa,38.718590,-9.135900,Entire rental unit,Entire home/apt,2,1,1,1,75,2,125,4.98,4.92,5,4.9
7165,Misericrdia,Lisboa,38.714270,-9.152740,Entire townhouse,Entire home/apt,4,1,0,1,39,1,59,4.56,4.85,4.54,4.71
7166,A dos Cunhados e Maceira,Torres Vedras,39.178140,-9.356460,Entire rental unit,Entire home/apt,5,2,2,3,60,3,1,5,5,5,5
