Id,Neighbourhood,Neighbourhood  Group,Latitude,Longitude,Property Type,Room Type,Accommodates,Bathrooms,Bedrooms,Beds,Price,Minimum Nights,Number of Reviews,Review Scores Rating,Review Scores Accuracy,Review Scores Cleanliness,Review Scores Location
10097,Avenidas Novas,Lisboa,38.745930,-9.150140,Entire rental unit,Entire home/apt,4,1,1,2,57,2,10,4.3,4.2,4.6,4.2
10098,Moscavide e Portela,Loures,38.784000,-9.113330,Entire rental unit,Entire home/apt,6,2,3,3,83,1,33,4.79,4.88,4.88,4.85
10099,Santa Brbara,Lourinh,39.206710,-9.306660,Entire residential home,Entire home/apt,4,1,1,1,60,7,2,5,4.5,5,5
10100,Santa Maria Maior,Lisboa,38.712330,-9.127260,Entire rental unit,Entire home/apt,4,1,1,2,115,1,28,4.68,4.82,4.82,4.71
10101,Arroios,Lisboa,38.723300,-9.133200,Private room in rental unit,Private room,1,1,1,1,20,31,7,4.86,5,5,5
10102,Sacavm e Prior Velho,Loures,38.791730,-9.113080,Private room in rental unit,Private room,2,1,1,2,30,1,17,4.94,4.88,4.94,4.18
10103,Carcavelos e Parede,Cascais,38.687450,-9.347410,Private room in rental unit,Private room,2,2,1,1,40,2,14,4.93,4.79,5,4.93
10104,Carcavelos e Parede,Cascais,38.688550,-9.352870,Private room in residential home,Private room,1,2,1,1,39,2,12,4.83,4.92,4.92,4.92
10105,Carcavelos e Parede,Cascais,38.689760,-9.348810,Private room in residential home,Private room,2,2,1,1,40,2,6,4.67,4.33,4.5,4.17
10106,Campo de Ourique,Lisboa,38.716250,-9.156940,Entire rental unit,Entire home/apt,4,1,1,2,130,2,14,5,5,4.93,5
10107,Agualva e Mira-Sintra,Sintra,38.774080,-9.290940,Private room in rental unit,Private room,2,1,0,1,25,2,11,5,5,4.91,4.73
10108,Santa Maria Maior,Lisboa,38.714800,-9.139110,Private room in guesthouse,Private room,2,1,1,1,36,1,6,4.17,4.83,4.67,4.17
10109,Penha de Frana,Lisboa,38.736380,-9.131070,Entire rental unit,Entire home/apt,10,2,3,7,156,2,22,4.64,4.82,4.77,4.77
10110,Avenidas Novas,Lisboa,38.737240,-9.147830,Entire rental unit,Entire home/apt,4,1,2,2,60,2,1,5,5,5,5
10111,Ribafria e Pereiro de Palhacana,Alenquer,39.043480,-9.108430,Private room in residential home,Private room,2,1,1,1,60,1,1,5,5,5,5
10112,Misericrdia,Lisboa,38.710720,-9.147860,Entire rental unit,Entire home/apt,4,1,2,3,50,2,16,4.5,4.63,4.5,5
10113,Cascais e Estoril,Cascais,38.731990,-9.448550,Entire residential home,Entire home/apt,12,4,5,9,300,4,6,5,5,5,4.83
10114,Ericeira,Mafra,38.962670,-9.415470,Entire rental unit,Entire home/apt,4,1,2,3,41,6,8,4.5,4.63,4.38,4.88
10115,Carcavelos e Parede,Cascais,38.699190,-9.330650,Entire rental unit,Entire home/apt,2,1,1,1,24,3,73,4.4,4.63,4.21,4.3
10116,Colares,Sintra,38.835610,-9.464720,Entire rental unit,Entire home/apt,3,1,1,1,350,1,1,5,5,5,5
10117,So Vicente,Lisboa,38.717050,-9.126560,Entire rental unit,Entire home/apt,2,1,1,1,50,5,12,5,4.92,5,4.83
10118,Cascais e Estoril,Cascais,38.697170,-9.372450,Private room in condominium (condo),Private room,1,2,1,1,28,5,4,4.75,4.75,5,5
10119,Cascais e Estoril,Cascais,38.700920,-9.424210,Entire rental unit,Entire home/apt,4,1,2,3,180,3,21,4.9,4.76,4.81,5
10120,Alvalade,Lisboa,38.751130,-9.144660,Entire rental unit,Entire home/apt,4,1,2,3,43,28,11,4.73,4.91,4.91,4.91
10121,Cascais e Estoril,Cascais,38.694840,-9.374370,Entire rental unit,Entire home/apt,6,3,3,4,78,3,29,4.86,4.86,4.97,4.93
10122,Colares,Sintra,38.830870,-9.464690,Private room in villa,Private room,2,1,1,1,80,3,22,4.95,5,4.95,4.86
10123,So Vicente,Lisboa,38.719270,-9.127380,Entire rental unit,Entire home/apt,6,1,3,3,46,1,130,4.5,4.65,4.61,4.67
10124,Ramada e Caneas,Odivelas,38.825730,-9.223220,Camper/RV,Entire home/apt,6,1,0,3,75,3,1,5,5,5,5
10125,Carcavelos e Parede,Cascais,38.700500,-9.366420,Entire guest suite,Entire home/apt,3,1,2,3,60,3,50,4.84,5,4.88,4.6
10126,Ericeira,Mafra,38.965630,-9.396110,Entire residential home,Entire home/apt,9,3,5,7,131,2,12,4.92,4.92,4.5,4.83
10127,Santa Maria Maior,Lisboa,38.718890,-9.136030,Entire condominium (condo),Entire home/apt,3,1,2,2,35,4,27,4.63,4.67,4.81,4.78
10128,Aldeia Galega da Merceana e Aldeia Gavinha,Alenquer,39.083710,-9.094730,Entire chalet,Entire home/apt,5,1,3,3,80,1,5,4.6,4.2,3.8,4.2
10129,Algueiro-Mem Martins,Sintra,38.812510,-9.329760,Entire guesthouse,Entire home/apt,4,1,2,2,75,2,6,5,5,5,4.67
10130,Olivais,Lisboa,38.764250,-9.112250,Entire rental unit,Entire home/apt,2,1,1,1,30,2,4,4.75,5,5,4.5
10131,Arroios,Lisboa,38.730150,-9.145660,Entire rental unit,Entire home/apt,4,1,1,2,53,1,78,4.73,4.82,4.74,4.76
10132,Santa Maria Maior,Lisboa,38.709410,-9.136710,Entire rental unit,Entire home/apt,4,1,2,3,110,2,17,4.35,4.29,4.24,4.94
10133,A dos Cunhados e Maceira,Torres Vedras,39.176880,-9.351790,Entire rental unit,Entire home/apt,4,1,1,2,65,2,3,5,5,5,4.67
10134,Santa Maria Maior,Lisboa,38.712730,-9.125070,Entire rental unit,Entire home/apt,4,1,1,2,115,1,29,4.86,4.86,4.97,4.79
10135,Ericeira,Mafra,38.981720,-9.414660,Entire rental unit,Entire home/apt,2,1,0,2,50,2,11,4.82,4.91,4.82,4.55
10136,Carvoeira,Mafra,38.933580,-9.412600,Entire condominium (condo),Entire home/apt,6,1,2,3,72,2,5,5,5,4.8,4.8
10137,Alcabideche,Cascais,38.756380,-9.466810,Entire villa,Entire home/apt,8,3,4,7,348,1,3,4.33,4.33,4.33,4.67
10138,Mafra,Mafra,38.969750,-9.375100,Entire residential home,Entire home/apt,4,1,2,3,60,3,28,4.96,4.96,4.96,4.82
10139,Arroios,Lisboa,38.728650,-9.146400,Entire rental unit,Entire home/apt,4,1,1,2,50,1,70,4.66,4.83,4.76,4.76
10140,Ericeira,Mafra,38.982730,-9.413100,Entire rental unit,Entire home/apt,2,1,0,2,50,2,2,5,5,5,5
10141,Santa Maria Maior,Lisboa,38.717160,-9.134330,Entire condominium (condo),Entire home/apt,4,1,2,2,57,2,45,4.4,4.67,4.73,4.24
10142,Cascais e Estoril,Cascais,38.702010,-9.431970,Private room in rental unit,Private room,2,1,1,1,20,3,36,4.86,4.83,4.86,4.72
10143,Arroios,Lisboa,38.735400,-9.131650,Entire rental unit,Entire home/apt,6,2,3,4,135,3,4,5,5,5,5
10144,Misericrdia,Lisboa,38.711590,-9.145810,Entire rental unit,Entire home/apt,6,1,2,3,70,1,32,4,4.22,3.69,4.81
10145,Misericrdia,Lisboa,38.714280,-9.143470,Entire rental unit,Entire home/apt,8,2,3,4,148,1,77,4.36,4.6,4.56,4.83
10146,Olivais,Lisboa,38.776980,-9.112930,Entire rental unit,Entire home/apt,6,1,3,5,54,2,57,4.74,4.91,4.65,4.65
10147,Cascais e Estoril,Cascais,38.697010,-9.420140,Entire rental unit,Entire home/apt,4,1,1,2,50,3,53,4.6,4.72,4.81,4.79
10148,Cascais e Estoril,Cascais,38.697900,-9.418850,Entire rental unit,Entire home/apt,5,1,2,4,94,3,5,4.4,4.8,5,4.8
10149,Cascais e Estoril,Cascais,38.697930,-9.418830,Entire rental unit,Entire home/apt,4,1,2,3,94,3,4,4.25,4.5,4.75,4.75
10150,Cascais e Estoril,Cascais,38.697900,-9.418800,Entire rental unit,Entire home/apt,5,1,2,4,104,3,6,5,5,5,5
10151,Cascais e Estoril,Cascais,38.697930,-9.418860,Entire rental unit,Entire home/apt,5,1,2,4,94,3,14,4.79,4.93,4.93,5
10152,Santa Maria Maior,Lisboa,38.710910,-9.139240,Entire rental unit,Entire home/apt,5,2,2,2,109,1,72,4.89,4.94,4.97,4.99
10153,Ericeira,Mafra,38.972960,-9.416800,Entire rental unit,Entire home/apt,10,4,4,5,350,3,5,4.8,4.8,5,5
10154,Santa Maria Maior,Lisboa,38.712230,-9.139330,Entire rental unit,Entire home/apt,5,2,2,3,118,1,95,4.94,4.93,4.97,4.98
10155,So Vicente,Lisboa,38.715330,-9.124910,Entire rental unit,Entire home/apt,2,2,1,1,35,28,27,4.81,4.93,4.78,4.96
10156,Carvoeira,Mafra,38.948950,-9.408830,Private room in residential home,Private room,2,1,1,2,49,2,2,4.5,5,4,5
10157,So Domingos de Benfica,Lisboa,38.746210,-9.168410,Entire rental unit,Entire home/apt,4,1,1,2,50,3,19,4.63,4.74,4.26,4.89
10158,Misericrdia,Lisboa,38.710720,-9.147800,Entire rental unit,Entire home/apt,6,1,2,3,75,2,14,4.57,4.64,4.93,5
10159,Ericeira,Mafra,38.958750,-9.406960,Entire rental unit,Entire home/apt,2,1,1,1,62,4,6,4.83,4.83,5,5
10160,Penha de Frana,Lisboa,38.725210,-9.120860,Entire rental unit,Entire home/apt,4,1,2,2,80,2,10,4.9,5,4.9,4.3
10161,Misericrdia,Lisboa,38.712528,-9.145388,Entire rental unit,Entire home/apt,4,1,1,2,59,3,12,4.25,4.67,4.25,4.42
10162,Carcavelos e Parede,Cascais,38.682870,-9.341780,Private room in townhouse,Private room,2,1,1,1,49,3,5,5,5,5,5
10163,Carvoeira,Mafra,38.949170,-9.407540,Shared room in residential home,Shared room,4,1,1,4,20,2,5,4.75,5,4.5,5
10164,Ericeira,Mafra,38.973280,-9.411860,Entire rental unit,Entire home/apt,6,2,2,5,124,3,11,4.82,5,4.91,4.91
10165,Cascais e Estoril,Cascais,38.700940,-9.385500,Entire rental unit,Entire home/apt,6,2,3,4,75,2,19,4.84,4.79,4.63,4.74
10166,Casal de Cambra,Sintra,38.798120,-9.223970,Private room in residential home,Private room,2,1,1,2,30,3,2,4.5,4.5,4.5,4
10167,Misericrdia,Lisboa,38.711290,-9.145530,Entire rental unit,Entire home/apt,2,1,1,2,70,4,5,4.6,5,4.6,5
10168,Misericrdia,Lisboa,38.711290,-9.145530,Entire rental unit,Entire home/apt,3,1,1,2,69,3,7,4.86,5,4.71,5
10169,Misericrdia,Lisboa,38.711288,-9.145531,Entire rental unit,Entire home/apt,3,1,1,2,75,3,14,4.57,4.86,4.79,5
10170,Misericrdia,Lisboa,38.712528,-9.145388,Entire rental unit,Entire home/apt,2,1,1,2,80,3,22,5,5,4.9,4.9
10171,Santa Maria Maior,Lisboa,38.711940,-9.126810,Entire rental unit,Entire home/apt,4,1,1,2,115,1,20,4.75,4.95,5,4.9
10172,Cascais e Estoril,Cascais,38.698310,-9.420400,Entire rental unit,Entire home/apt,5,2,3,3,95,2,23,4.61,4.57,4.52,4.96
10173,Belm,Lisboa,38.701130,-9.206110,Entire rental unit,Entire home/apt,4,2,3,3,149,5,9,4.88,5,5,4.88
10174,Algueiro-Mem Martins,Sintra,38.803700,-9.319320,Private room in guesthouse,Private room,3,1,1,2,40,1,38,4.39,4.63,4.58,4.29
10175,Penha de Frana,Lisboa,38.727960,-9.129690,Entire rental unit,Entire home/apt,3,1,2,2,60,2,4,4.25,4.25,4.25,4.5
10176,So Vicente,Lisboa,38.713100,-9.129700,Entire rental unit,Entire home/apt,4,1,1,2,54,2,90,4.83,4.87,4.57,4.8
10177,Ajuda,Lisboa,38.702220,-9.201300,Entire rental unit,Entire home/apt,4,1,2,3,120,4,1,5,5,5,5
10178,Lourinh e Atalaia,Lourinh,39.251360,-9.305770,Entire residential home,Entire home/apt,7,2,4,4,120,2,8,4.88,4.75,4.63,4.75
10179,Alvalade,Lisboa,38.747560,-9.142210,Entire rental unit,Entire home/apt,4,1,1,1,60,2,36,4.78,4.97,4.86,4.78
10180,Ericeira,Mafra,38.968780,-9.417080,Entire condominium (condo),Entire home/apt,6,3,3,4,150,4,3,5,4.67,5,4.33
10181,Olivais,Lisboa,38.776670,-9.112870,Entire rental unit,Entire home/apt,4,1,1,2,39,2,49,4.76,4.78,4.57,4.78
10182,Olivais,Lisboa,38.777380,-9.114560,Entire rental unit,Entire home/apt,8,2,4,5,90,2,31,4.77,4.74,4.61,4.87
10183,Santa Maria Maior,Lisboa,38.711660,-9.139640,Entire rental unit,Entire home/apt,4,1,1,2,97,2,56,4.82,4.86,4.77,4.91
10184,Olivais,Lisboa,38.773340,-9.121730,Entire residential home,Entire home/apt,6,1,3,3,118,2,6,4.83,4.83,4.5,4.83
10185,Santa Maria Maior,Lisboa,38.712750,-9.139440,Entire rental unit,Entire home/apt,6,1,2,3,146,2,58,4.83,4.86,4.84,5
10186,Santa Maria Maior,Lisboa,38.713290,-9.139770,Entire rental unit,Entire home/apt,6,1,2,3,146,2,39,4.74,4.82,4.79,4.95
10187,Santa Maria Maior,Lisboa,38.711950,-9.137680,Entire rental unit,Entire home/apt,4,1,1,2,137,2,82,4.88,4.94,4.79,4.95
10188,Santa Maria Maior,Lisboa,38.711120,-9.138090,Entire rental unit,Entire home/apt,6,1,2,3,124,2,33,4.67,4.97,4.97,4.97
10189,Arroios,Lisboa,38.729100,-9.136240,Private room in rental unit,Private room,2,2,1,1,16,1,2,3,4,5,5
10190,Santa Maria Maior,Lisboa,38.709730,-9.134460,Entire rental unit,Entire home/apt,6,2,2,3,176,3,43,4.86,4.93,4.88,4.98
10191,Ajuda,Lisboa,38.702370,-9.191910,Entire loft,Entire home/apt,2,1,1,1,36,3,57,4.68,4.81,4.74,4.49
10192,Arroios,Lisboa,38.724750,-9.135880,Entire rental unit,Entire home/apt,4,1,1,3,500,3,31,4.94,4.97,4.87,4.77
10193,Alcntara,Lisboa,38.699650,-9.192190,Entire rental unit,Entire home/apt,4,1,2,3,88,3,16,4.94,4.94,4.94,4.56
10194,Alcntara,Lisboa,38.703260,-9.183600,Entire rental unit,Entire home/apt,2,1,1,2,55,2,37,4.62,4.92,4.92,4.73
10195,Estrela,Lisboa,38.703800,-9.167230,Entire rental unit,Entire home/apt,4,2,2,2,122,7,4,4.75,4.75,4.75,4.75
10196,Arroios,Lisboa,38.721030,-9.141690,Entire rental unit,Entire home/apt,4,1,1,2,73,2,28,5,4.89,5,5
10197,A dos Cunhados e Maceira,Torres Vedras,39.176030,-9.352570,Entire rental unit,Entire home/apt,6,2,2,3,68,6,10,5,5,4.9,5
10198,Penha de Frana,Lisboa,38.722160,-9.130000,Private room in rental unit,Private room,2,1,1,1,39,1,15,4.6,4.67,4.2,4.8
10199,Misericrdia,Lisboa,38.710740,-9.151810,Entire condominium (condo),Entire home/apt,2,1,1,1,50,3,20,4.65,4.65,4.7,4.75
10200,Cascais e Estoril,Cascais,38.702180,-9.431320,Private room in rental unit,Private room,2,1,1,1,20,3,40,4.6,4.73,4.55,4.63
10201,Parque das Naes,Lisboa,38.765070,-9.096170,Camper/RV,Entire home/apt,4,1,1,2,250,2,8,5,5,4.88,5
10202,So Domingos de Rana,Cascais,38.711820,-9.335810,Private room in rental unit,Private room,2,2,1,1,41,1,27,4.59,4.81,4.85,4.74
10203,Massam e Monte Abrao,Sintra,38.751170,-9.272300,Private room in rental unit,Private room,2,1,1,2,100,2,4,4.75,4.75,4.5,4.5
10204,Arroios,Lisboa,38.721140,-9.139970,Entire rental unit,Entire home/apt,4,1,1,2,125,2,5,4,4.2,4.4,4
10205,Carcavelos e Parede,Cascais,38.694200,-9.339410,Entire rental unit,Entire home/apt,5,1,2,4,55,3,13,4.77,4.92,5,4.31
10206,Santa Maria Maior,Lisboa,38.711190,-9.141820,Entire serviced apartment,Entire home/apt,6,2,3,3,227,1,3,5,5,5,5
10207,Misericrdia,Lisboa,38.709420,-9.146880,Entire rental unit,Entire home/apt,6,2,2,4,73,3,70,4.93,4.97,4.89,4.94
10208,So Vicente,Lisboa,38.719670,-9.120250,Entire rental unit,Entire home/apt,4,1,1,1,56,2,47,4.85,4.94,4.94,4.7
10209,Arroios,Lisboa,38.715610,-9.137850,Entire rental unit,Entire home/apt,4,1,1,2,44,2,96,4.72,4.73,4.86,4.76
10210,Misericrdia,Lisboa,38.709640,-9.145460,Entire rental unit,Entire home/apt,6,1,2,4,69,3,90,4.92,4.89,4.89,4.92
10211,Misericrdia,Lisboa,38.709330,-9.145470,Entire rental unit,Entire home/apt,6,1,2,4,66,3,58,4.9,4.88,4.91,4.88
10212,Misericrdia,Lisboa,38.710140,-9.146830,Entire rental unit,Entire home/apt,6,1,2,4,69,3,51,4.88,4.94,4.88,4.86
10213,Misericrdia,Lisboa,38.714870,-9.147520,Entire rental unit,Entire home/apt,4,1,2,3,50,2,37,4.84,4.89,4.97,4.95
10214,So Joo das Lampas e Terrugem,Sintra,38.841890,-9.369380,Tiny house,Entire home/apt,6,1,2,3,45,2,48,4.79,4.88,4.96,4.75
10215,Mafra,Mafra,38.939350,-9.371400,Entire villa,Entire home/apt,14,3,5,6,250,5,15,5,4.71,4.5,4.79
10216,Parque das Naes,Lisboa,38.754440,-9.097850,Entire rental unit,Entire home/apt,4,1,0,3,467,2,1,1,4,4,5
10217,Sacavm e Prior Velho,Loures,38.790700,-9.109410,Private room in rental unit,Private room,1,1,1,1,21,1,10,4.8,4.7,4.6,4.4
10218,So Vicente,Lisboa,38.719450,-9.120810,Entire residential home,Entire home/apt,2,1,1,1,70,3,3,4.67,5,4.67,4.67
10219,Algueiro-Mem Martins,Sintra,38.802980,-9.317530,Private room in guesthouse,Private room,3,1,1,2,40,1,36,4.53,4.56,4.61,4.78
10220,Ajuda,Lisboa,38.702240,-9.192890,Entire rental unit,Entire home/apt,6,2,3,3,220,4,24,4.54,4.83,4.71,4.71
10221,Arroios,Lisboa,38.731820,-9.136470,Entire rental unit,Entire home/apt,7,2,5,6,70,1,1,5,5,5,5
10222,Algueiro-Mem Martins,Sintra,38.803960,-9.319490,Entire guesthouse,Entire home/apt,6,2,2,2,100,1,5,4.4,4.6,4.8,4.8
10223,Lourinh e Atalaia,Lourinh,39.266180,-9.332100,Entire rental unit,Entire home/apt,4,1,2,3,80,2,11,4.18,4.82,4.09,4.91
10224,Colares,Sintra,38.841010,-9.461440,Entire cottage,Entire home/apt,4,1,2,2,95,5,37,4.73,4.84,4.65,4.95
10225,Misericrdia,Lisboa,38.710630,-9.149610,Entire condominium (condo),Entire home/apt,2,1,1,1,50,3,12,4.25,4.42,4.17,4.58
10226,Santo Antnio,Lisboa,38.718450,-9.142350,Entire rental unit,Entire home/apt,2,1,1,2,294,1,1,1,1,1,4
10227,Santo Antnio,Lisboa,38.718450,-9.142350,Entire rental unit,Entire home/apt,2,1,1,1,200,1,1,5,5,5,5
10228,Arroios,Lisboa,38.726830,-9.135070,Private room in rental unit,Private room,2,2,1,1,16,2,2,4,4.5,4,5
10229,Cascais e Estoril,Cascais,38.731010,-9.451480,Entire rental unit,Entire home/apt,8,4,4,9,702,7,2,5,4.5,5,4.5
10230,Arroios,Lisboa,38.730390,-9.140730,Entire rental unit,Entire home/apt,5,1,2,3,60,2,2,4,5,3.5,4.5
10231,Olivais,Lisboa,38.766120,-9.112220,Entire rental unit,Entire home/apt,4,1,1,4,60,3,21,5,5,5,4.9
10232,Cascais e Estoril,Cascais,38.710760,-9.399630,Room in hostel,Hotel room,7,3,1,7,13,2,1,5,5,5,5
10233,Misericrdia,Lisboa,38.708990,-9.146730,Entire rental unit,Entire home/apt,2,1,1,1,50,2,8,4.75,4.88,5,5
10234,Santo Isidoro,Mafra,38.989630,-9.406470,Shared room in residential home,Shared room,1,3,1,4,20,2,10,4.9,4.8,4.5,5
10235,Ericeira,Mafra,38.988060,-9.418050,Shared room in residential home,Shared room,1,3,1,8,20,2,9,4.89,4.22,4.22,4.89
10236,Ericeira,Mafra,38.969700,-9.415220,Entire residential home,Entire home/apt,10,4,4,7,405,2,9,5,5,5,5
10237,Ribafria e Pereiro de Palhacana,Alenquer,39.043000,-9.109680,Private room in residential home,Private room,2,1,1,1,60,1,1,5,5,5,5
10238,Ericeira,Mafra,38.988060,-9.418050,Shared room in residential home,Shared room,1,3,1,4,20,2,7,5,4.86,4.71,4.71
10239,Cascais e Estoril,Cascais,38.695850,-9.420340,Entire rental unit,Entire home/apt,4,2,2,3,190,2,20,5,5,4.95,5
10240,Ribafria e Pereiro de Palhacana,Alenquer,39.043940,-9.109990,Entire residential home,Entire home/apt,4,2,2,2,110,1,3,4.67,4.67,5,4.33
10241,Carcavelos e Parede,Cascais,38.690460,-9.352990,Private room in residential home,Private room,2,2,1,1,44,2,11,5,5,5,4.91
10242,Carcavelos e Parede,Cascais,38.683250,-9.328970,Entire rental unit,Entire home/apt,6,2,2,3,124,2,13,5,5,4.92,4.85
10243,Cascais e Estoril,Cascais,38.700650,-9.434200,Entire rental unit,Entire home/apt,4,1,1,2,85,4,9,4.67,5,5,4.44
10244,Belm,Lisboa,38.698830,-9.204220,Private room in residential home,Private room,4,1,1,2,145,2,5,5,5,5,4.8
10245,Belm,Lisboa,38.697820,-9.194470,Entire rental unit,Entire home/apt,4,1,1,2,52,2,32,4.31,4.44,4.19,4.53
10246,Ericeira,Mafra,38.969990,-9.382790,Entire guesthouse,Entire home/apt,4,1,1,3,45,3,23,5,5,5,4.91
10247,Cascais e Estoril,Cascais,38.704510,-9.390360,Entire rental unit,Entire home/apt,4,1,2,3,69,5,38,5,5,4.97,4.95
10248,Carcavelos e Parede,Cascais,38.685220,-9.352940,Entire rental unit,Entire home/apt,4,1,1,3,46,2,45,4.71,4.91,4.8,4.71
10249,Alcabideche,Cascais,38.734080,-9.406200,Entire villa,Entire home/apt,6,2,3,5,74,6,17,4.71,4.76,4.65,4.59
10250,So Vicente,Lisboa,38.713960,-9.125550,Entire rental unit,Entire home/apt,4,1,1,2,115,1,17,4.88,4.88,4.82,5
10251,So Domingos de Benfica,Lisboa,38.753920,-9.180250,Entire rental unit,Entire home/apt,4,1,2,4,117,3,31,4.9,4.9,4.97,4.83
10252,So Vicente,Lisboa,38.718150,-9.120460,Entire rental unit,Entire home/apt,4,1,1,1,50,2,16,4.81,4.81,4.81,4.5
10253,Santo Antnio,Lisboa,38.722450,-9.145510,Entire rental unit,Entire home/apt,3,1,1,2,71,2,29,4,4.17,4.21,4.31
10254,A dos Cunhados e Maceira,Torres Vedras,39.141380,-9.372130,Entire rental unit,Entire home/apt,4,1,2,3,120,2,32,4.97,4.94,5,4.88
10255,Santo Antnio,Lisboa,38.716950,-9.153170,Private room in rental unit,Private room,2,2,1,2,60,3,1,1,3,4,4
10256,Santa Maria Maior,Lisboa,38.713310,-9.128360,Entire rental unit,Entire home/apt,2,1,1,1,118,1,4,5,5,5,5
10257,Santo Antnio,Lisboa,38.716370,-9.154060,Private room in rental unit,Private room,2,1,1,1,25,10,4,3.75,3.25,3.5,5
10258,Santo Antnio,Lisboa,38.716530,-9.152100,Private room in rental unit,Private room,2,1,1,1,50,3,1,3,2,1,5
10259,Santa Maria Maior,Lisboa,38.710270,-9.137440,Entire rental unit,Entire home/apt,4,2,2,2,181,2,35,4.74,4.89,4.77,5
10260,Santa Maria Maior,Lisboa,38.712340,-9.139510,Tiny house,Entire home/apt,2,1,1,1,83,2,17,4.76,5,4.59,5
10261,So Joo das Lampas e Terrugem,Sintra,38.864620,-9.401910,Entire villa,Entire home/apt,6,3,3,3,100,7,4,4,3.25,3.75,4.75
10262,Cascais e Estoril,Cascais,38.700480,-9.422430,Entire rental unit,Entire home/apt,4,1,1,2,130,3,3,5,5,5,5
10263,Carcavelos e Parede,Cascais,38.690570,-9.335860,Entire villa,Entire home/apt,16,2,8,14,253,4,3,4.67,3.33,4.67,3.67
10264,Arroios,Lisboa,38.731970,-9.133510,Private room in rental unit,Private room,2,2,1,1,23,3,34,4.71,4.76,4.88,4.62
10265,Arroios,Lisboa,38.731970,-9.133510,Private room in rental unit,Private room,2,2,1,1,23,3,44,4.68,4.89,4.89,4.5
10266,Arroios,Lisboa,38.731490,-9.133700,Private room in rental unit,Private room,1,2,1,1,23,3,16,4.44,4.63,4.63,4.31
10267,Arroios,Lisboa,38.731970,-9.133510,Private room in rental unit,Private room,2,2,1,1,23,3,30,4.77,4.8,4.9,4.83
10268,Arroios,Lisboa,38.731970,-9.133510,Private room in rental unit,Private room,2,2,1,1,28,3,23,4.78,4.87,4.91,4.57
10269,Carvoeira,Mafra,38.947788,-9.410613,Shared room in residential home,Shared room,3,3,1,0,20,2,16,5,5,4.94,4.94
10270,Alvalade,Lisboa,38.746800,-9.131950,Entire rental unit,Entire home/apt,5,1,2,3,80,3,1,5,5,5,4
10271,Cascais e Estoril,Cascais,38.700480,-9.422430,Entire rental unit,Entire home/apt,4,1,1,1,160,3,1,5,5,5,5
10272,Cascais e Estoril,Cascais,38.700480,-9.422430,Entire rental unit,Entire home/apt,4,1,1,1,160,3,1,5,5,5,5
10273,Cascais e Estoril,Cascais,38.700480,-9.422430,Entire rental unit,Entire home/apt,4,1,1,1,140,3,2,5,5,5,5
10274,Cascais e Estoril,Cascais,38.700480,-9.422430,Entire rental unit,Entire home/apt,6,2,2,3,180,3,1,5,5,5,5
10275,Cascais e Estoril,Cascais,38.700480,-9.422430,Entire rental unit,Entire home/apt,6,2,2,3,170,3,3,5,5,5,5
10276,Santa Maria Maior,Lisboa,38.708970,-9.132300,Entire rental unit,Entire home/apt,6,1,2,4,100,2,37,4.86,4.86,4.86,4.89
10277,Santa Maria Maior,Lisboa,38.713340,-9.128420,Entire rental unit,Entire home/apt,2,1,1,1,81,1,2,5,5,5,5
10278,Santa Maria Maior,Lisboa,38.713320,-9.128340,Entire rental unit,Entire home/apt,3,1,2,2,84,1,2,5,5,5,5
10279,Santa Maria Maior,Lisboa,38.713270,-9.128320,Entire rental unit,Entire home/apt,4,1,2,3,98,1,2,4,4.5,5,5
10280,Beato,Lisboa,38.740120,-9.121840,Private room in rental unit,Private room,1,1,1,1,15,4,7,4.43,4.71,5,4.57
10281,Arroios,Lisboa,38.731510,-9.145510,Entire rental unit,Entire home/apt,8,2,3,5,200,2,36,5,5,4.94,4.94
10282,Arroios,Lisboa,38.734270,-9.132000,Private room in condominium (condo),Private room,2,3,1,2,43,3,3,5,5,4.67,5
10283,Santa Maria Maior,Lisboa,38.709640,-9.133780,Entire rental unit,Entire home/apt,5,1,3,2,152,3,20,4.9,4.85,5,4.95
10284,Estrela,Lisboa,38.704930,-9.171820,Entire rental unit,Entire home/apt,4,1,1,2,48,2,33,4.67,4.73,4.76,4.45
10285,Belm,Lisboa,38.698560,-9.205300,Private room in guest suite,Private room,4,1,1,2,120,2,3,4.67,4.67,4.67,4.67
10286,Arroios,Lisboa,38.733980,-9.133520,Private room in rental unit,Private room,2,3,0,2,43,3,2,5,5,4.5,5
10287,Massam e Monte Abrao,Sintra,38.753200,-9.283940,Entire rental unit,Entire home/apt,4,1,2,3,300,30,6,4.83,5,4.5,4.5
10288,Arroios,Lisboa,38.732790,-9.133200,Private room in rental unit,Private room,1,3,1,1,33,3,1,5,5,5,5
10289,Arroios,Lisboa,38.732180,-9.132890,Private room in rental unit,Private room,1,3,1,1,33,3,1,4,5,4,4
10290,Arroios,Lisboa,38.733880,-9.131650,Private room in rental unit,Private room,1,3,1,1,33,3,2,4.5,5,4,5
10291,Areeiro,Lisboa,38.739760,-9.123650,Private room in rental unit,Private room,2,3,1,2,43,3,3,4.33,4.67,3.67,4.67
10292,Areeiro,Lisboa,38.742890,-9.139190,Entire rental unit,Entire home/apt,2,1,1,1,45,4,4,5,5,5,5
10293,Areeiro,Lisboa,38.741690,-9.123180,Private room in rental unit,Private room,1,3,1,1,33,3,2,4.5,5,4.5,5
